now,published_at,price,property_status,apartment_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,land_type,direction,pty_characteristics,width,length,house_type,floors,block,unitnumber,size_unit,living_size,apartment_feature,commercial_type,balconydirection,floornumber
2025-10-02T23:59:15.061880,Cập nhật 6 ngày trước,"10,8 tỷ",,,120 m²,90 triệu/m²,Đã có sổ,6 phòng,6 phòng,Hoàn thiện cơ bản,,Tây Nam,Hiện trạng khác,6 m,20 m,"Nhà ngõ, hẻm",122,,,,120 m²,,,,
2025-10-02T23:59:17.695080,Cập nhật 7 ngày trước,"7,5 tỷ",,,33 m²,"227,27 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:59:19.129133,Cập nhật 7 ngày trước,"13,5 tỷ",,,35 m²,"385,71 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,6 m,7 m,"Nhà mặt phố, mặt tiền",5,,,,38 m²,,,,
2025-10-02T23:59:20.355315,Cập nhật 6 ngày trước,"6,6 tỷ",,,31 m²,"212,90 triệu/m²",Đã có sổ,3 phòng,,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:59:22.297559,Cập nhật 7 ngày trước,"3,35 tỷ",,,31 m²,"108,06 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:59:24.964725,Cập nhật 13 giờ trước,"10,6 tỷ",,,54 m²,"196,30 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",5,,,,54 m²,,,,
2025-10-02T23:59:29.043554,Cập nhật 7 ngày trước,"5,24 tỷ",,,78 m²,"67,18 triệu/m²",Đã có sổ,,,,Đất thổ cư,Nam,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,4.3 m,10 m,,,,,,,,,,
2025-10-02T23:59:29.399303,Cập nhật 6 ngày trước,"7,9 tỷ",,,40 m²,"197,50 triệu/m²",Đã có sổ,4 phòng,4 phòng,Hoàn thiện cơ bản,,Tây Bắc,"Hẻm xe hơi
Nhà nở hậu",4 m,10 m,"Nhà mặt phố, mặt tiền",5,,,,40 m²,,,,
2025-10-02T23:59:29.768278,Cập nhật 6 ngày trước,"4,7 tỷ",Chưa bàn giao,"Tập thể, cư xá",80 m²,"58,75 triệu/m²",Sổ hồng riêng,3 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,3
2025-10-02T23:59:31.525389,Cập nhật 8 ngày trước,26 tỷ,,,62 m²,"419,35 triệu/m²",Đã có sổ,6 phòng,6 phòng,,,,Hẻm xe hơi,7 m,9 m,"Nhà ngõ, hẻm",4,,,,62 m²,,,,
2025-10-02T23:59:34.298756,Cập nhật 6 ngày trước,50 triệu,,,240 m²,208.333 đ/m²,Giấy tờ khác,,,Hoàn thiện cơ bản,,Đông Nam,,,,,,1,,,,,Văn phòng,,6
2025-10-02T23:59:39.089129,Cập nhật 7 ngày trước,"6,18 tỷ",,,21 m²,"294,29 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất đầy đủ,,,,3 m,8 m,"Nhà ngõ, hẻm",6,,,,25 m²,,,,
2025-10-02T23:59:39.660912,Cập nhật 7 ngày trước,"7,3 tỷ",,,30 m²,"243,33 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:59:39.669461,Cập nhật 8 ngày trước,"13,7 tỷ",,,52 m²,"263,46 triệu/m²",Đã có sổ,6 phòng,5 phòng,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,5 m,10.5 m,"Nhà ngõ, hẻm",5,,,,52 m²,,,,
2025-10-02T23:59:41.828173,Cập nhật 8 ngày trước,"13,4 tỷ",,,40 m²,335 triệu/m²,Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,,,,,"Nhà mặt phố, mặt tiền",3,,,,,,,,
2025-10-02T23:59:48.623753,Cập nhật 6 ngày trước,"3,3 tỷ",,,32 m²,"103,12 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:59:48.909542,Cập nhật 7 ngày trước,"5,13 tỷ",,,46 m²,"111,52 triệu/m²",Đã có sổ,7 phòng,5 phòng,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:59:49.105655,Cập nhật 7 ngày trước,"45,8 tỷ",,,135 m²,"339,26 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất cao cấp,,Đông Nam,Hẻm xe hơi,7 m,19 m,Nhà biệt thự,3,,,,135 m²,,,,
2025-10-02T23:59:57.745050,Cập nhật 7 ngày trước,"4,68 tỷ",Đã bàn giao,"Tập thể, cư xá",55 m²,"85,09 triệu/m²",Sổ hồng riêng,2 phòng,1 phòng,Nội thất cao cấp,,,,,,,,,,,,Căn góc,,,
2025-10-02T23:59:58.425875,Cập nhật 15 giờ trước,"13,5 tỷ",,,52 m²,"259,62 triệu/m²",Đã có sổ,4 phòng,5 phòng,,,,,,,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-03T00:00:00.120265,Cập nhật 8 ngày trước,"7,2 tỷ",,,38 m²,"189,47 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:00:02.218197,Cập nhật 6 ngày trước,"9,8 tỷ",,,35 m²,280 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,4.4 m,7.95 m,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:00:02.774561,Cập nhật 5 ngày trước,"8,2 tỷ",,,35 m²,"234,29 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:00:06.868377,Cập nhật 8 ngày trước,"8,45 tỷ",,,43 m²,"196,51 triệu/m²",Đã có sổ,4 phòng,3 phòng,,,,,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:00:07.609489,Cập nhật 7 ngày trước,5 tỷ,,,33 m²,"151,52 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",5,,,,35 m²,,,,
2025-10-03T00:00:09.870560,Cập nhật 8 ngày trước,60 tỷ,,,163 m²,"368,10 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,,,Nhà nở hậu,25 m,,"Nhà mặt phố, mặt tiền",5,,,,550 m²,,,,
2025-10-03T00:00:12.309952,Cập nhật 2 ngày trước,"2,75 tỷ",,,42 m²,"65,48 triệu/m²",Không có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:00:16.662679,Cập nhật 6 ngày trước,"2,35 tỷ",Đã bàn giao,Chung cư,55 m²,"42,73 triệu/m²",Hợp đồng mua bán,2 phòng,1 phòng,Nội thất đầy đủ,,,,,,,,11,,,,Căn góc,,,2
2025-10-03T00:00:16.923256,Cập nhật 5 ngày trước,"13,6 tỷ",,,60 m²,"226,67 triệu/m²",Đã có sổ,4 phòng,3 phòng,Hoàn thiện cơ bản,,,Hiện trạng khác,3.1 m,,"Nhà ngõ, hẻm",3,,,,,,,,
2025-10-03T00:00:20.997250,Cập nhật 6 ngày trước,2 tỷ,,,31 m²,"64,52 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,,,,,,
2025-10-03T00:00:20.726785,Cập nhật 6 ngày trước,"7,05 tỷ",,,35 m²,"201,43 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,3 m,,"Nhà ngõ, hẻm",5,,5,,35 m²,,,,
2025-10-03T00:00:23.014680,Cập nhật 8 ngày trước,"17,6 tỷ",,,82 m²,"214,63 triệu/m²",Đã có sổ,,,,Đất nền dự án,Đông Bắc,Hẻm xe hơi,5 m,16.4 m,,,,,m²,,,,,
2025-10-03T00:00:30.688863,Cập nhật 8 ngày trước,"5,85 tỷ",,,53 m²,"110,38 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,,3.5 m,,"Nhà ngõ, hẻm",4,,,,53 m²,,,,
