now,published_at,price,property_status,apartment_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,land_type,direction,pty_characteristics,width,length,house_type,floors,block,unitnumber,size_unit,living_size,apartment_feature,commercial_type,balconydirection,floornumber
2025-10-03T00:05:40.477851,Cập nhật 6 ngày trước,"6,9 tỷ",,,31 m²,"222,58 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:05:40.680006,Cập nhật 8 ngày trước,16 tỷ,,,140 m²,"114,29 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Hẻm xe hơi Nở hậu Thổ cư toàn bộ,7.3 m,,,,,,,,,,,
2025-10-03T00:05:42.523271,Cập nhật 7 ngày trước,8 tỷ,,,55 m²,"145,45 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,Hẻm xe hơi,4 m,14 m,"Nhà ngõ, hẻm",4,,,,200 m²,,,,
2025-10-03T00:05:44.791502,Cập nhật 2 ngày trước,11 tỷ,,,50 m²,220 triệu/m²,Đã có sổ,6 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,50 m²,,,,
2025-10-03T00:05:45.178001,Cập nhật 7 ngày trước,"5,4 tỷ",,,85 m²,"63,53 triệu/m²",Đã có sổ,3 phòng,2 phòng,Hoàn thiện cơ bản,,,Hẻm xe hơi Hiện trạng khác,5.3 m,16 m,"Nhà ngõ, hẻm",2,,,,84.7 m²,,,,
2025-10-03T00:05:49.478836,Cập nhật 3 ngày trước,"6,5 tỷ",,,25 m²,260 triệu/m²,Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:05:49.612343,Cập nhật 7 ngày trước,"7,86 tỷ",,,33 m²,"238,18 triệu/m²",Đã có sổ,3 phòng,,Nội thất cao cấp,,,Hiện trạng khác,,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:05:52.488923,Cập nhật 6 ngày trước,"8,3 tỷ",,,35 m²,"237,14 triệu/m²",Đã có sổ,6 phòng,,Nội thất đầy đủ,,,Hẻm xe hơi Nhà nở hậu,3.5 m,10 m,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:05:54.066808,Cập nhật 8 ngày trước,"5,7 tỷ",,,33.5 m²,"170,15 triệu/m²",Đã có sổ,5 phòng,3 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:05:54.442144,Cập nhật 8 ngày trước,"7,4 tỷ",,,32 m²,"231,25 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,,4 m,8 m,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-03T00:05:58.769696,Cập nhật 5 ngày trước,"8,8 tỷ",,,40 m²,220 triệu/m²,Đã có sổ,,,,Đất thổ cư,,Mặt tiền Hẻm xe hơi,,,,,,,,,,,,
2025-10-03T00:05:59.439820,Cập nhật 6 ngày trước,"4,1 tỷ",Đã bàn giao,"Tập thể, cư xá",70 m²,"58,57 triệu/m²",Sổ hồng riêng,2 phòng,,,,,,,,,,,,,,,,,
2025-10-03T00:06:03.215027,Cập nhật 7 ngày trước,"3,25 tỷ",,,36 m²,"90,28 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,,,,,,,,,,,,
2025-10-03T00:06:03.721761,Cập nhật 7 ngày trước,"6,9 tỷ",,,36 m²,"191,67 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:06:03.763272,Cập nhật 7 ngày trước,"11,5 tỷ",,,67 m²,"171,64 triệu/m²",Đã có sổ,4 phòng,6 phòng,Nội thất cao cấp,,,,5 m,13 m,"Nhà ngõ, hẻm",7,,,,67 m²,,,,
2025-10-03T00:06:08.060431,Cập nhật 8 ngày trước,"7,25 tỷ",,,36 m²,"201,39 triệu/m²",Đã có sổ,4 phòng,,Nội thất cao cấp,,,,,,"Nhà ngõ, hẻm",,,BP249,,,,,,
2025-10-03T00:06:08.664560,Cập nhật 7 ngày trước,"8,1 tỷ",,,47 m²,"172,34 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-03T00:06:12.642702,Cập nhật 6 ngày trước,"13,5 tỷ",,,44 m²,"306,82 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Hẻm xe hơi Nở hậu Chưa có thổ cư Thổ cư 1 phần,4 m,11 m,,,,,m²,,,,,
2025-10-03T00:06:13.143531,Cập nhật 6 ngày trước,"16,8 tỷ",,,60 m²,280 triệu/m²,Đã có sổ,4 phòng,,,,,Hẻm xe hơi,,,Nhà phố liền kề,,,,,,,,,
2025-10-03T00:06:17.046210,Cập nhật 8 ngày trước,"1,25 tỷ",,,60 m²,"20,83 triệu/m²",Sổ chung / công chứng vi bằng,,,,Đất nông nghiệp,,,,,,,,,,,,,,
2025-10-03T00:06:18.172142,Cập nhật 3 giờ trước,"7,85 tỷ",,,30 m²,"261,67 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,,4 m,,"Nhà ngõ, hẻm",5,,,,30 m²,,,,
2025-10-03T00:06:22.094269,Cập nhật 8 ngày trước,"7,2 tỷ",,,60 m²,120 triệu/m²,Đã có sổ,nhiều hơn 10 phòng,Nhiều hơn 6 phòng,,,,,42 m,15 m,"Nhà ngõ, hẻm",,,,,60 m²,,,,
2025-10-03T00:06:22.295734,Cập nhật 6 ngày trước,"31,9 tỷ",,,111 m²,"287,39 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà mặt phố, mặt tiền",2,,,,,,,,
2025-10-03T00:06:23.925859,Cập nhật 5 ngày trước,12 tỷ,,,38 m²,"315,79 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,Đông Nam,Nhà nở hậu Hẻm xe hơi,,,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-03T00:06:26.208944,Cập nhật 4 ngày trước,"1,18 tỷ",,,113 m²,"10,44 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền Thổ cư 1 phần,,,,,,,m²,,,,,
2025-10-03T00:06:32.346540,Cập nhật 2 ngày trước,"6,6 tỷ",,,41 m²,"160,98 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:06:32.270380,Cập nhật 6 ngày trước,"1,48 tỷ",Đã bàn giao,"Căn hộ dịch vụ, mini",35 m²,"42,29 triệu/m²",Hợp đồng mua bán,1 phòng,1 phòng,Nội thất đầy đủ,,,,,,,,7,,,,,,,2
2025-10-03T00:06:36.308555,Cập nhật 6 ngày trước,8 tỷ,,,30 m²,"266,67 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:06:44.468797,Cập nhật 8 ngày trước,4 tỷ,,,55 m²,"72,73 triệu/m²",Đã có sổ,,,,Đất thổ cư,,,4 m,14 m,,,,,,,,,,
2025-10-03T00:06:46.794235,Cập nhật 2 ngày trước,"14,5 tỷ",,,50 m²,290 triệu/m²,Đã có sổ,nhiều hơn 10 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:06:48.304861,Cập nhật 8 ngày trước,"6,688 tỷ",,,40 m²,"167,20 triệu/m²",Đã có sổ,4 phòng,3 phòng,,,,,,,"Nhà ngõ, hẻm",,,,,40 m²,,,,
2025-10-03T00:06:48.310607,Cập nhật 8 ngày trước,33 tỷ,,,95 m²,"347,37 triệu/m²",Đã có sổ,7 phòng,Nhiều hơn 6 phòng,,,,,9.5 m,10 m,"Nhà mặt phố, mặt tiền",,,,,95 m²,,,,
2025-10-03T00:06:51.880325,Cập nhật 7 ngày trước,"7,8 tỷ",,,65 m²,120 triệu/m²,Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:06:54.024808,Cập nhật 6 ngày trước,"20,5 tỷ",,,52 m²,"394,23 triệu/m²",Đã có sổ,5 phòng,4 phòng,Nội thất cao cấp,,,Hẻm xe hơi Nhà nở hậu,,,Nhà phố liền kề,6,,,,,,,,
2025-10-03T00:06:55.323757,Cập nhật 6 ngày trước,"8,066 tỷ",,,43 m²,"187,58 triệu/m²",Đã có sổ,5 phòng,3 phòng,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",4,,,,43 m²,,,,
2025-10-03T00:06:57.823698,Cập nhật 10 giờ trước,"26,5 tỷ",,,62 m²,"427,42 triệu/m²",Đã có sổ,3 phòng,,Nội thất cao cấp,,,Hẻm xe hơi,,,Nhà biệt thự,,,,,,,,,
2025-10-03T00:06:59.583842,Cập nhật 4 ngày trước,12 tỷ,,,35 m²,"342,86 triệu/m²",Đã có sổ,3 phòng,5 phòng,Hoàn thiện cơ bản,,,,3.5 m,10 m,"Nhà mặt phố, mặt tiền",6,,,,175 m²,,,,
2025-10-03T00:07:01.896527,Cập nhật 17 giờ trước,"6,8 tỷ",,,36 m²,"188,89 triệu/m²",Đã có sổ,4 phòng,3 phòng,,,,Hẻm xe hơi,6 m,6 m,"Nhà ngõ, hẻm",,,,,150 m²,,,,
2025-10-03T00:07:04.890667,Cập nhật 7 ngày trước,"9,5 tỷ",Đã bàn giao,Chung cư,110 m²,"86,36 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,Nội thất cao cấp,,,,,,,,,,,,Căn góc,,,
2025-10-03T00:07:11.132630,Cập nhật 7 ngày trước,12 tỷ,,,52 m²,"230,77 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-03T00:07:10.764557,Cập nhật 7 giờ trước,"14,8 tỷ",,,42 m²,"352,38 triệu/m²",Đã có sổ,3 phòng,,,,,,4.4 m,9.5 m,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-03T00:07:10.870303,Cập nhật 7 ngày trước,"17,9 tỷ",,,54 m²,"331,48 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,3.9 m,,"Nhà mặt phố, mặt tiền",5,,,,54 m²,,,,
2025-10-03T00:07:13.481465,Cập nhật 7 ngày trước,"6,7 tỷ",,,30 m²,"223,33 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,,,,3 m,,"Nhà ngõ, hẻm",5,,,,,,,,
2025-10-03T00:07:14.350911,Cập nhật 6 ngày trước,"6,4 tỷ",,,35 m²,"182,86 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,Nhà nở hậu,3.8 m,9 m,"Nhà ngõ, hẻm",5,,,,38 m²,,,,
2025-10-03T00:07:21.322762,Cập nhật 6 ngày trước,"8,7 tỷ",,,35 m²,"248,57 triệu/m²",Đã có sổ,4 phòng,5 phòng,Hoàn thiện cơ bản,,,,,,"Nhà ngõ, hẻm",7,,,,,,,,
2025-10-03T00:07:22.958424,Cập nhật 7 ngày trước,8 tỷ,,,35 m²,"228,57 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất cao cấp,,Đông Bắc,Nhà nở hậu,4 m,9 m,"Nhà ngõ, hẻm",4,,,,,,,,
2025-10-03T00:07:23.183657,Cập nhật 7 ngày trước,"14,45 tỷ",,,53 m²,"272,64 triệu/m²",Đã có sổ,5 phòng,5 phòng,Nội thất đầy đủ,,,Nhà nở hậu,,,"Nhà ngõ, hẻm",5,,,,53 m²,,,,
2025-10-03T00:07:22.982430,Cập nhật 8 ngày trước,"16,2 tỷ",,,52 m²,"311,54 triệu/m²",Đã có sổ,1 phòng,1 phòng,,,,Hẻm xe hơi,4 m,15 m,"Nhà mặt phố, mặt tiền",1,,,,52 m²,,,,
2025-10-03T00:07:25.441487,Cập nhật 7 ngày trước,"6,85 tỷ",,,30 m²,"228,33 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,Đông Nam,Nhà nở hậu,4 m,7.6 m,"Nhà ngõ, hẻm",5,,,,30 m²,,,,
2025-10-03T00:07:31.162120,Cập nhật 6 ngày trước,59 tỷ,,,5000 m²,"11,80 triệu/m²",Đã có sổ,,,,,,,,,,,,,,,,Mặt bằng kinh doanh,,
2025-10-03T00:07:34.745145,Cập nhật 3 ngày trước,6 tỷ,,,30 m²,200 triệu/m²,Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,,Nhà nở hậu,,,"Nhà mặt phố, mặt tiền",5,,,,30 m²,,,,
2025-10-03T00:07:36.254339,Cập nhật 7 ngày trước,"8,85 tỷ",,,34 m²,"260,29 triệu/m²",Đã có sổ,3 phòng,,Nội thất cao cấp,,,Hiện trạng khác,,,"Nhà ngõ, hẻm",6,,,,,,,,
2025-10-03T00:07:38.166859,Cập nhật 6 ngày trước,"7,95 tỷ",,,35 m²,"227,14 triệu/m²",Đã có sổ,4 phòng,4 phòng,Hoàn thiện cơ bản,,Nam,Hẻm xe hơi Nhà nở hậu,3.5 m,,"Nhà ngõ, hẻm",5,,,,35 m²,,,,
