now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,floors,property_status,apartment_type,floornumber,land_type,pty_characteristics,width,length,block,size_unit,living_size,unitnumber,commercial_type,direction,apartment_feature,balconydirection
2025-10-04T00:15:17.173936,Cập nhật 8 ngày trước,"6,9 tỷ","Nhà ngõ, hẻm",42 m²,"164,29 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:15:18.115253,Cập nhật 9 ngày trước,"8,2 tỷ","Nhà ngõ, hẻm",34 m²,"241,18 triệu/m²",Đã có sổ,5 phòng,4 phòng,,5,,,,,Nhà nở hậu,,,,,,,,Tây Bắc,,
2025-10-04T00:15:20.654792,Cập nhật 8 ngày trước,"20,5 tỷ","Nhà mặt phố, mặt tiền",25 m²,820 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất cao cấp,5,,,,,,3 m,,,,100 m²,,,,,
2025-10-04T00:15:22.171776,Cập nhật 8 ngày trước,"5,95 tỷ","Nhà ngõ, hẻm",32 m²,"185,94 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,,,,,,Nhà nở hậu,7 m,,,,32 m²,,,,,
2025-10-04T00:15:26.171043,Cập nhật 8 ngày trước,"16,8 tỷ","Nhà mặt phố, mặt tiền",55 m²,"305,45 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,4,,,,,,5.5 m,10 m,,,60 m²,,,Tây Bắc,,
2025-10-04T00:15:26.745679,Cập nhật 8 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",45 m²,"166,67 triệu/m²",Đã có sổ,5 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:15:26.248691,Cập nhật 8 ngày trước,"4,88 tỷ",,95 m²,"51,37 triệu/m²",Sổ hồng riêng,3 phòng,,,,Đã bàn giao,Chung cư,,,,,,,,,,,,,
2025-10-04T00:15:28.619009,Cập nhật 4 ngày trước,"6,9 tỷ","Nhà ngõ, hẻm",54 m²,"127,78 triệu/m²",Đã có sổ,3 phòng,3 phòng,,5,,,,,,4 m,,,,54 m²,,,,,
2025-10-04T00:15:30.515557,Cập nhật 6 ngày trước,28 tỷ,,223 m²,"125,56 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,,8.2 m,28 m,,,,,,,,
2025-10-04T00:15:33.484038,Cập nhật 7 ngày trước,"15,8 tỷ","Nhà ngõ, hẻm",48 m²,"329,17 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,48 m²,,,,,
2025-10-04T00:15:34.865616,Cập nhật 8 ngày trước,"19,4 tỷ","Nhà ngõ, hẻm",59 m²,"328,81 triệu/m²",Đã có sổ,5 phòng,,Nội thất đầy đủ,7,,,,,Hẻm xe hơi,4.5 m,13 m,,,,,,,,
2025-10-04T00:15:35.346888,Cập nhật 7 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",40 m²,"187,50 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất đầy đủ,,,,,,,5 m,8 m,,,,,,,,
2025-10-04T00:15:36.658622,Cập nhật 3 giờ trước,9 tỷ,"Nhà ngõ, hẻm",52 m²,"173,08 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,6,,,,,Hẻm xe hơi,4 m,13 m,,,240 m²,,,Đông Bắc,,
2025-10-04T00:15:39.241458,Cập nhật 9 ngày trước,"13,88 tỷ","Nhà mặt phố, mặt tiền",82 m²,"169,27 triệu/m²",Đã có sổ,5 phòng,,,5,,,,,,,,,,,,,,,
2025-10-04T00:15:42.540704,Cập nhật 8 ngày trước,"6,3 tỷ","Nhà ngõ, hẻm",36 m²,175 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,5,,,,,Nhà nở hậu,,,,,,,,,,
2025-10-04T00:15:43.613622,Cập nhật 7 ngày trước,"4,1 tỷ",,65 m²,"63,08 triệu/m²",Sổ hồng riêng,2 phòng,2 phòng,Nội thất đầy đủ,,Đã bàn giao,Chung cư,,,,,,,,,,,,,
2025-10-04T00:15:44.885165,Cập nhật 1 ngày trước,3 tỷ,,39 m²,"76,92 triệu/m²",Sổ hồng riêng,2 phòng,1 phòng,,,Đã bàn giao,"Tập thể, cư xá",,,,,,,,,,,,,
2025-10-04T00:15:47.380533,Cập nhật 7 ngày trước,9 tỷ,"Nhà ngõ, hẻm",48 m²,"187,50 triệu/m²",Đã có sổ,9 phòng,,Nội thất đầy đủ,5,,,,,Hiện trạng khác,,,,,48 m²,,,,,
2025-10-04T00:15:50.252226,Cập nhật 8 ngày trước,"7,8 tỷ",,62 m²,"125,81 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Thổ cư toàn bộ,5.2 m,,,,,,,,,
2025-10-04T00:15:51.746937,Cập nhật 2 ngày trước,19 tỷ,"Nhà mặt phố, mặt tiền",73 m²,"260,27 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,7 m,,,,,,,,,
2025-10-04T00:15:52.707466,Cập nhật 9 ngày trước,800 triệu,,36 m²,"22,22 triệu/m²",Sổ hồng riêng,2 phòng,1 phòng,Nội thất cao cấp,,Đã bàn giao,"Căn hộ dịch vụ, mini",,,,,,,,,,,Nam,,Đông Nam
2025-10-04T00:15:55.349276,Cập nhật 8 ngày trước,"8,95 tỷ","Nhà ngõ, hẻm",50 m²,179 triệu/m²,Đã có sổ,4 phòng,4 phòng,Hoàn thiện cơ bản,4,,,,,Hẻm xe hơi Nhà nở hậu,,,,,50 m²,,,,,
2025-10-04T00:15:57.071102,Cập nhật 4 ngày trước,9 tỷ,"Nhà ngõ, hẻm",46.1 m²,"195,23 triệu/m²",Đã có sổ,4 phòng,3 phòng,Hoàn thiện cơ bản,4,,,,,Nhà nở hậu,3.8 m,12 m,,,46 m²,,,Đông Nam,,
2025-10-04T00:15:59.623447,Cập nhật 8 ngày trước,"2,85 tỷ",,83 m²,"34,34 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,,5 m,16 m,,m²,,,,,,
2025-10-04T00:16:00.626631,Cập nhật 9 ngày trước,"18,9 tỷ",,90 m²,210 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,4.4 m,20.45 m,,m²,,,,Đông Bắc,,
2025-10-04T00:16:05.227217,Cập nhật 7 ngày trước,"9,95 tỷ","Nhà ngõ, hẻm",45 m²,"221,11 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất cao cấp,6,,,,,Hẻm xe hơi Nhà nở hậu,5 m,,,,50 m²,,,,,
2025-10-04T00:16:07.771539,Cập nhật 8 ngày trước,10 tỷ,,50 m²,200 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,,,,,,,,,,,
2025-10-04T00:16:08.942927,Cập nhật 7 ngày trước,"11,35 tỷ","Nhà ngõ, hẻm",43 m²,"263,95 triệu/m²",Đã có sổ,4 phòng,5 phòng,,6,,,,,Hẻm xe hơi,48 m,,,,43 m²,,,,,
2025-10-04T00:16:08.665978,Cập nhật 7 ngày trước,"12,5 tỷ",,76 m²,"164,47 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Thổ cư toàn bộ,6.5 m,11.6 m,,m²,,,,,,
2025-10-04T00:16:13.515312,Cập nhật 7 ngày trước,"8,3 tỷ","Nhà mặt phố, mặt tiền",30 m²,"276,67 triệu/m²",Đã có sổ,5 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:16:15.979684,Cập nhật 8 ngày trước,"4,15 tỷ","Nhà ngõ, hẻm",40 m²,"103,75 triệu/m²",Đã có sổ,3 phòng,2 phòng,Nội thất cao cấp,,,,,,Hẻm xe hơi,3.5 m,11.5 m,,,,,,,,
2025-10-04T00:16:17.561038,Cập nhật 7 ngày trước,"7,95 tỷ","Nhà ngõ, hẻm",40 m²,"198,75 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,,,,,,,,,,,,,,
2025-10-04T00:16:17.489676,Cập nhật 9 ngày trước,"6,2 tỷ","Nhà ngõ, hẻm",43 m²,"144,19 triệu/m²",Đã có sổ,4 phòng,,,4,,,,,,,,,,,,,,,
2025-10-04T00:16:20.423082,Cập nhật 8 ngày trước,"6,6 tỷ","Nhà ngõ, hẻm",33 m²,200 triệu/m²,Đã có sổ,4 phòng,3 phòng,Nội thất đầy đủ,4,,,,,Nhà nở hậu,3.7 m,9 m,,,33 m²,,,Nam,,
2025-10-04T00:16:21.842789,Cập nhật 7 ngày trước,"4,68 tỷ",,68 m²,"68,82 triệu/m²",Sổ hồng riêng,2 phòng,,,,Chưa bàn giao,"Tập thể, cư xá",,,,,,,,,,,,,
2025-10-04T00:16:24.206896,Cập nhật 2 ngày trước,"3,69 tỷ","Nhà ngõ, hẻm",15 m²,246 triệu/m²,Đã có sổ,3 phòng,3 phòng,,,,,,,Hẻm xe hơi,5 m,,,,18 m²,,,,,
2025-10-04T00:16:26.129499,Cập nhật 7 ngày trước,"8,8 tỷ","Nhà ngõ, hẻm",37 m²,"237,84 triệu/m²",Đã có sổ,5 phòng,5 phòng,Nội thất đầy đủ,5,,,,,,6 m,,,,,,,,,
2025-10-04T00:16:26.692435,Cập nhật 8 ngày trước,"8,25 tỷ","Nhà ngõ, hẻm",32 m²,"257,81 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,Hiện trạng khác,3.8 m,,,,160 m²,,,,,
2025-10-04T00:16:28.959682,Cập nhật 1 ngày trước,"6,4 tỷ","Nhà ngõ, hẻm",31 m²,"206,45 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,,4 m,,,,54 m²,,,Nam,,
2025-10-04T00:16:33.297033,Cập nhật 9 ngày trước,"6,5 tỷ","Nhà ngõ, hẻm",30 m²,"216,67 triệu/m²",Đã có sổ,3 phòng,,,4,,,,,,,,,,,,,,,
2025-10-04T00:16:33.853913,Cập nhật 9 ngày trước,"9,39 tỷ","Nhà ngõ, hẻm",40 m²,"234,75 triệu/m²",Đã có sổ,2 phòng,,,,,,,,,,,,,40 m²,,,,,
2025-10-04T00:16:34.820465,Cập nhật 2 giờ trước,3 tỷ,,300 m²,10 triệu/m²,Đã có sổ,,,,,,,,Đất nông nghiệp,Mặt tiền Hẻm xe hơi Nở hậu Chưa có thổ cư Không có thổ cư,11 m,29 m,,m²,,,,Đông Bắc,,
2025-10-04T00:16:36.953148,Cập nhật 16 giờ trước,"15,8 tỷ",Nhà phố liền kề,50 m²,316 triệu/m²,Đã có sổ,6 phòng,4 phòng,Hoàn thiện cơ bản,5,,,,,Hẻm xe hơi,4 m,12 m,,,,,,Tây Bắc,,
2025-10-04T00:16:38.601117,Cập nhật 7 ngày trước,20 tỷ,Nhà biệt thự,327 m²,"61,16 triệu/m²",Đã có sổ,4 phòng,4 phòng,Nội thất đầy đủ,3,,,,,,,,,,,,,,,
2025-10-04T00:16:41.893451,Cập nhật 9 ngày trước,"20,5 tỷ","Nhà mặt phố, mặt tiền",58 m²,"353,45 triệu/m²",Đã có sổ,10 phòng,Nhiều hơn 6 phòng,Nội thất cao cấp,7,,,,,,,,,,,,,,,
2025-10-04T00:16:43.144710,Cập nhật 8 ngày trước,"15,4 tỷ","Nhà ngõ, hẻm",44 m²,350 triệu/m²,Đã có sổ,6 phòng,,Nội thất đầy đủ,5,,,,,Nhà nở hậu,2.9 m,15 m,,,220 m²,,,,,
2025-10-04T00:16:47.052161,Cập nhật 9 ngày trước,"5,5 tỷ",,61 m²,"90,16 triệu/m²",Sổ hồng riêng,2 phòng,,,,Đã bàn giao,Chung cư,,,,,,,,,,,,,
2025-10-04T00:16:47.403118,Cập nhật 9 ngày trước,"12,9 tỷ",,100 m²,129 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền,5 m,20 m,,m²,,,,Đông Bắc,,
2025-10-04T00:16:49.108449,Cập nhật 7 ngày trước,"1,26 tỷ",,35 m²,36 triệu/m²,Hợp đồng mua bán,1 phòng,1 phòng,Nội thất đầy đủ,,Đã bàn giao,"Căn hộ dịch vụ, mini",3,,,,,7,,,,,,Căn góc,
