now,published_at,price,land_type,size,price_m2,property_legal_document,pty_characteristics,width,size_unit,direction,length,house_type,rooms,toilets,furnishing_sell,floors,living_size,property_status,apartment_type,block,commercial_type,floornumber,apartment_feature,property_back_condition,street_id,unitnumber,balconydirection
2025-10-04T12:41:10.145296,Cập nhật 9 ngày trước,"22,9 tỷ",,68 m²,"336,76 triệu/m²",Đã có sổ,Hẻm xe hơi Nhà nở hậu,,,,,"Nhà mặt phố, mặt tiền",5 phòng,6 phòng,Nội thất cao cấp,7,68 m²,,,,,,,,,,
2025-10-04T12:41:15.196858,Cập nhật 9 ngày trước,"6,3 tỷ",,25 m²,252 triệu/m²,Đã có sổ,,3.3 m,,,7 m,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất cao cấp,5,25 m²,,,,,,,,,,
2025-10-04T12:41:15.604831,Cập nhật 9 ngày trước,3 tỷ,,80 m²,"37,50 triệu/m²",Đã có sổ,,5.2 m,,,15.5 m,"Nhà ngõ, hẻm",2 phòng,1 phòng,,,80 m²,,,,,,,,,,
2025-10-04T12:41:19.523176,Cập nhật 9 ngày trước,"5,24 tỷ",Đất thổ cư,78 m²,"67,18 triệu/m²",Đã có sổ,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,4.3 m,,Nam,10 m,,,,,,,,,,,,,,,,
2025-10-04T12:41:19.804511,Cập nhật 9 ngày trước,"6,8 tỷ",,36 m²,"188,89 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất đầy đủ,5,,,,,,,,,,,
2025-10-04T12:41:25.537072,Cập nhật 9 ngày trước,"7,95 tỷ",,30 m²,265 triệu/m²,Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,5,,,,,,,,,,,
2025-10-04T12:41:25.851704,Cập nhật 9 ngày trước,12 tỷ,,35 m²,"342,86 triệu/m²",Đã có sổ,Nhà nở hậu,,,,,"Nhà ngõ, hẻm",4 phòng,,,6,,,,,,,,,,,
2025-10-04T12:41:29.473821,Cập nhật 9 ngày trước,8 tỷ,,35 m²,"228,57 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,Nội thất cao cấp,5,,,,,,,,,,,
2025-10-04T12:41:29.501430,Cập nhật 9 ngày trước,3 tỷ,Đất thổ cư,60 m²,50 triệu/m²,Đã có sổ,,6 m,m²,,10 m,,,,,,,,,,,,,,,,
2025-10-04T12:41:29.592029,Cập nhật 9 ngày trước,"5,2 tỷ",,30.2 m²,"172,19 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,3 phòng,,,30.2 m²,,,,,,,,,,
2025-10-04T12:41:36.342965,Cập nhật 9 ngày trước,"1,26 tỷ",,50 m²,"25,20 triệu/m²",Hợp đồng mua bán,,,,,,,2 phòng,1 phòng,Nội thất cao cấp,,,Đã bàn giao,Chung cư,5,,5,,,,,
2025-10-04T12:41:36.528539,Cập nhật 9 ngày trước,"8,6 tỷ",,46 m²,"186,96 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,3 phòng,,,,,,,,,,,,,
2025-10-04T12:41:39.738946,Cập nhật 9 ngày trước,"7,45 tỷ",,39 m²,"191,03 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,,,,,,,,,,,,,,
2025-10-04T12:41:38.748075,Cập nhật 9 ngày trước,"8,23 tỷ",,47 m²,"175,11 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",5 phòng,,,,,,,,,,,,,,
2025-10-04T12:41:39.522497,Cập nhật 9 ngày trước,"7,8 tỷ",,42 m²,"185,71 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,,,,,,,,,,,,,
2025-10-04T12:41:46.063433,Cập nhật 9 ngày trước,"6,7 tỷ",,30 m²,"223,33 triệu/m²",Đã có sổ,,3 m,,,,"Nhà ngõ, hẻm",4 phòng,3 phòng,Nội thất cao cấp,5,,,,,,,,,,,
2025-10-04T12:41:46.440382,Cập nhật 9 ngày trước,"8,39 tỷ",,35 m²,"239,71 triệu/m²",Đã có sổ,Hẻm xe hơi Nhà nở hậu,3.5 m,,Đông,103 m,"Nhà ngõ, hẻm",3 phòng,4 phòng,,6,35 m²,,,,,,,,,,
2025-10-04T12:41:50.464471,Cập nhật 9 ngày trước,18 tỷ,,55 m²,"327,27 triệu/m²",Đã có sổ,Nhà nở hậu Hẻm xe hơi Hiện trạng khác,7 m,,,7.85 m,"Nhà ngõ, hẻm",nhiều hơn 10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,6,55 m²,,,,,,,,,,
2025-10-04T12:41:49.734445,Cập nhật 9 ngày trước,28 tỷ,,120 m²,"233,33 triệu/m²",Đã có sổ,,20 m,,,6 m,Nhà biệt thự,5 phòng,5 phòng,,,120 m²,,,,,,,,,,
2025-10-04T12:41:49.831767,Cập nhật 9 ngày trước,"13,8 tỷ",,44 m²,"313,64 triệu/m²",Đã có sổ,Hẻm xe hơi,,,,,"Nhà ngõ, hẻm",3 phòng,3 phòng,Nội thất đầy đủ,4,,,,,,,,,,,
2025-10-04T12:41:56.027944,Cập nhật 9 ngày trước,"8,99 tỷ",,36 m²,"249,72 triệu/m²",Đã có sổ,Hẻm xe hơi Nhà nở hậu,4 m,,,9 m,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất cao cấp,5,36 m²,,,,,,,,,,
