now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,furnishing_sell,floors,toilets,pty_characteristics,width,land_type,direction,length,block,size_unit,living_size,property_status,apartment_type,balconydirection,floornumber,apartment_feature,commercial_type
2025-10-03T07:42:12.851713,Cập nhật 1 ngày trước,"8,6 tỷ","Nhà ngõ, hẻm",39 m²,"220,51 triệu/m²",Đã có sổ,4 phòng,Nội thất cao cấp,6,,,,,,,,,,,,,,,
2025-10-03T07:42:13.809274,Cập nhật 6 ngày trước,"13,8 tỷ","Nhà ngõ, hẻm",38 m²,"363,16 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,4,3 phòng,Nhà nở hậu,6.15 m,,,,,,,,,,,,
2025-10-03T07:42:15.398874,Cập nhật 6 ngày trước,"2,4 tỷ",,44 m²,"54,55 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi",3.5 m,Đất thổ cư,Bắc,14 m,Đất thổ cư phường Chương Mỹ,m²,,,,,,,
2025-10-03T07:42:22.315164,Cập nhật 8 ngày trước,"5,2 tỷ","Nhà ngõ, hẻm",30.5 m²,"170,49 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,3 phòng,Nhà nở hậu,3.6 m,,,10 m,,,30.5 m²,,,,,,
2025-10-03T07:42:33.084993,Cập nhật 4 ngày trước,"14,8 tỷ","Nhà mặt phố, mặt tiền",52 m²,"284,62 triệu/m²",Đã có sổ,4 phòng,,,,Nhà nở hậu,,,,,,,,,,,,,
2025-10-03T07:42:39.867733,Cập nhật 7 ngày trước,6 tỷ,"Nhà mặt phố, mặt tiền",42 m²,"142,86 triệu/m²",Đã có sổ,4 phòng,,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:42:41.993915,Cập nhật 8 ngày trước,"8,15 tỷ","Nhà ngõ, hẻm",34 m²,"239,71 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,5 phòng,Nhà nở hậu,3.9 m,,,,,,34 m²,,,,,,
2025-10-03T07:42:44.767267,Cập nhật 7 ngày trước,"14,11 tỷ",,91 m²,"155,05 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",6.7 m,Đất thổ cư,,,,,,,,,,,
2025-10-03T07:42:56.134975,Cập nhật 7 ngày trước,"5,3 tỷ","Nhà ngõ, hẻm",33 m²,"160,61 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:42:57.291240,Cập nhật 4 ngày trước,5 tỷ,"Nhà ngõ, hẻm",32 m²,"156,25 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:43:12.419916,Cập nhật 8 ngày trước,"3,856 tỷ",,160 m²,"24,10 triệu/m²",Đã có sổ,,,,,,8 m,Đất thổ cư,,20 m,,m²,,,,,,,
2025-10-03T07:43:26.006114,Cập nhật 7 ngày trước,"6,8 tỷ","Nhà ngõ, hẻm",35 m²,"194,29 triệu/m²",Đã có sổ,3 phòng,,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:43:36.732112,Cập nhật 7 ngày trước,"8,2 tỷ","Nhà mặt phố, mặt tiền",44 m²,"186,36 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:43:41.579373,Cập nhật 7 ngày trước,"3,85 tỷ",,35 m²,110 triệu/m²,Đã có sổ,,,,,,4 m,Đất thổ cư,Đông Nam,9 m,,m²,,,,,,,
2025-10-03T07:43:51.334257,Cập nhật 7 ngày trước,"4,85 tỷ",,41 m²,"118,29 triệu/m²",Sổ hồng riêng,3 phòng,,,2 phòng,,,,,,,,,Chưa bàn giao,Chung cư,,,,
2025-10-03T07:43:53.711833,Cập nhật 21 giờ trước,"28,8 tỷ","Nhà ngõ, hẻm",70 m²,"411,43 triệu/m²",Đã có sổ,4 phòng,,5,,,,,,,,,,,,,,,
2025-10-03T07:44:15.462336,Cập nhật 3 ngày trước,"3,2 triệu",,25 m²,128.000 đ/m²,Sổ hồng riêng,2 phòng,Nội thất đầy đủ,,1 phòng,,,,Tây,,,,,Chưa bàn giao,"Tập thể, cư xá",Đông Nam,2,,
2025-10-03T07:44:17.186794,Cập nhật 8 ngày trước,960 triệu,,100 m²,"9,60 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Nở hậu
Thổ cư toàn bộ",,Đất thổ cư,,,,,,,,,,,
2025-10-03T07:44:17.555512,Cập nhật 7 ngày trước,"10,8 tỷ",,52 m²,"207,69 triệu/m²",Đã có sổ,,,,,Hẻm xe hơi,4.5 m,Đất thổ cư,,,,m²,,,,,,,
2025-10-03T07:44:19.777728,Cập nhật 6 ngày trước,17 tỷ,"Nhà mặt phố, mặt tiền",60 m²,"283,33 triệu/m²",Đã có sổ,4 phòng,,,,Hẻm xe hơi,,,,,,,,,,,,,
2025-10-03T07:44:25.559843,Cập nhật 7 ngày trước,"6,7 tỷ","Nhà ngõ, hẻm",32 m²,"209,38 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:44:26.117112,Cập nhật 7 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",33 m²,"227,27 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:44:47.148045,Cập nhật 7 ngày trước,"5,85 tỷ","Nhà ngõ, hẻm",44 m²,"132,95 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,,,3.8 m,,,,,,44 m²,,,,,,
2025-10-03T07:44:50.948334,Cập nhật 7 ngày trước,"62,79 tỷ","Nhà mặt phố, mặt tiền",195 m²,322 triệu/m²,Đã có sổ,5 phòng,,6,5 phòng,Hiện trạng khác,8 m,,,25 m,,,195 m²,,,,,,
2025-10-03T07:44:52.888807,Cập nhật 7 ngày trước,"18,85 tỷ","Nhà ngõ, hẻm",60 m²,"314,17 triệu/m²",Đã có sổ,5 phòng,,5,5 phòng,,4.5 m,,,13 m,,,60 m²,,,,,,
2025-10-03T07:44:57.992870,Cập nhật 6 ngày trước,"4,5 tỷ",,55 m²,"81,82 triệu/m²",Sổ hồng riêng,2 phòng,,,1 phòng,,,,,,,,,Đã bàn giao,Chung cư,,,,
2025-10-03T07:45:00.636265,Cập nhật 7 ngày trước,7 tỷ,"Nhà ngõ, hẻm",56 m²,125 triệu/m²,Đã có sổ,8 phòng,Nội thất cao cấp,5,4 phòng,Nhà nở hậu,,,,,,,,,,,,,
2025-10-03T07:45:07.003632,Cập nhật 7 ngày trước,"5,4 tỷ","Nhà mặt phố, mặt tiền",40 m²,135 triệu/m²,Đã có sổ,4 phòng,Hoàn thiện cơ bản,5,4 phòng,Nhà nở hậu,4 m,,,10 m,,,45 m²,,,,,,
2025-10-03T07:45:10.085270,Cập nhật 9 ngày trước,"24,8 tỷ",,100 m²,248 triệu/m²,Đã có sổ,,,,,,,Đất thổ cư,,,,,,,,,,,
2025-10-03T07:45:12.404639,Cập nhật 8 ngày trước,"10,3 tỷ","Nhà mặt phố, mặt tiền",40 m²,"257,50 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,4,4 phòng,,,,,,,,160 m²,,,,,,
2025-10-03T07:45:24.656924,Cập nhật 2 ngày trước,"11,9 tỷ","Nhà mặt phố, mặt tiền",42 m²,"283,33 triệu/m²",Đã có sổ,3 phòng,Nội thất cao cấp,,,,4 m,,,,,,42 m²,,,,,,
2025-10-03T07:45:28.857040,Cập nhật 6 ngày trước,"6,6 tỷ","Nhà ngõ, hẻm",30 m²,220 triệu/m²,Đã có sổ,3 phòng,Nội thất đầy đủ,5,4 phòng,Nhà nở hậu,,,,,,,,,,,,,
2025-10-03T07:45:34.045760,Cập nhật 7 ngày trước,"13,5 tỷ",Nhà phố liền kề,50 m²,270 triệu/m²,Đã có sổ,4 phòng,Nội thất đầy đủ,5,4 phòng,,4 m,,,,,,50 m²,,,,,,
2025-10-03T07:45:36.345882,Cập nhật 6 ngày trước,"3,8 tỷ","Nhà ngõ, hẻm",34 m²,"111,76 triệu/m²",Đã có sổ,3 phòng,Hoàn thiện cơ bản,4,,,5 m,,,,,,34 m²,,,,,,
2025-10-03T07:45:42.803170,Cập nhật 4 ngày trước,"7,5 tỷ","Nhà mặt phố, mặt tiền",40 m²,"187,50 triệu/m²",Đã có sổ,5 phòng,Nội thất cao cấp,,6 phòng,Nhà nở hậu,,,,,,,42 m²,,,,,,
2025-10-03T07:45:47.391594,Cập nhật 6 ngày trước,"8,1 tỷ","Nhà ngõ, hẻm",38 m²,"213,16 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,4 phòng,,3.5 m,,,,,,,,,,,,
2025-10-03T07:45:51.987591,Cập nhật 6 ngày trước,"9,5 tỷ","Nhà ngõ, hẻm",35 m²,"271,43 triệu/m²",Đã có sổ,4 phòng,Hoàn thiện cơ bản,4,3 phòng,,,,,,,,40 m²,,,,,,
2025-10-03T07:45:55.903710,Cập nhật 1 ngày trước,"2,95 tỷ",,50 m²,59 triệu/m²,Sổ hồng riêng,2 phòng,Nội thất cao cấp,,1 phòng,,,,Đông Nam,,,,,Chưa bàn giao,Chung cư,Đông Nam,,,
2025-10-03T07:46:01.013637,Cập nhật 7 ngày trước,3 tỷ,,50 m²,60 triệu/m²,Đã có sổ,,,,,"Mặt tiền
Nở hậu
Thổ cư toàn bộ",4 m,Đất thổ cư,,12 m,,m²,,,,,,,
2025-10-03T07:46:05.271550,Cập nhật 6 ngày trước,"13,3 tỷ","Nhà ngõ, hẻm",60 m²,"221,67 triệu/m²",Đã có sổ,4 phòng,Hoàn thiện cơ bản,6,3 phòng,"Nhà nở hậu
Hẻm xe hơi",13.3 m,,Bắc,5 m,,,60 m²,,,,,,
2025-10-03T07:46:05.045962,Cập nhật 8 ngày trước,"7,8 tỷ","Nhà ngõ, hẻm",42 m²,"185,71 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:46:05.310224,Cập nhật 8 ngày trước,"17,7 tỷ","Nhà mặt phố, mặt tiền",59 m²,300 triệu/m²,Đã có sổ,3 phòng,Hoàn thiện cơ bản,4,3 phòng,,3.8 m,,,,,,59 m²,,,,,,
