now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,furnishing_sell,floors,toilets,pty_characteristics,width,land_type,direction,length,block,size_unit,living_size,property_status,apartment_type,balconydirection,floornumber,apartment_feature,commercial_type
2025-10-03T07:51:07.835928,Cập nhật 6 ngày trước,"7,85 tỷ","Nhà ngõ, hẻm",38 m²,"206,58 triệu/m²",Đã có sổ,4 phòng,,,,Hẻm xe hơi,,,,,,,,,,,,,
2025-10-03T07:51:13.758472,Cập nhật 7 ngày trước,"6,85 tỷ","Nhà ngõ, hẻm",32 m²,"214,06 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:51:14.512772,Cập nhật 14 giờ trước,"1,1 tỷ","Nhà ngõ, hẻm",10 m²,110 triệu/m²,Đã có sổ,2 phòng,,,1 phòng,,,,,,,,30 m²,,,,,,
2025-10-03T07:51:19.337667,Cập nhật 7 ngày trước,"7,1 tỷ","Nhà ngõ, hẻm",40 m²,"177,50 triệu/m²",Đã có sổ,6 phòng,Nội thất đầy đủ,6,6 phòng,,3.2 m,,,12 m,,,40 m²,,,,,,
2025-10-03T07:51:29.836818,Cập nhật 6 ngày trước,"9,5 tỷ","Nhà mặt phố, mặt tiền",63 m²,"150,79 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,3,2 phòng,,,,,,,,,,,,,,
2025-10-03T07:51:34.924551,Cập nhật 6 ngày trước,"7,6 tỷ","Nhà mặt phố, mặt tiền",46 m²,"165,22 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:51:43.575048,Cập nhật 4 ngày trước,34 tỷ,Nhà phố liền kề,98.5 m²,"345,18 triệu/m²",Đã có sổ,nhiều hơn 10 phòng,Nội thất cao cấp,7,,"Hẻm xe hơi
Nhà nở hậu",5.2 m,,Đông Nam,19 m,,,98.5 m²,,,,,,
2025-10-03T07:51:47.861837,Cập nhật 3 ngày trước,"4,88 tỷ","Nhà ngõ, hẻm",23 m²,"212,17 triệu/m²",Đã có sổ,3 phòng,Nội thất đầy đủ,5,4 phòng,"Hẻm xe hơi
Nhà nở hậu",5 m,,Tây Bắc,5 m,08,,23 m²,,,,,,
2025-10-03T07:51:49.082591,Cập nhật 8 ngày trước,"4,15 tỷ",,50 m²,83 triệu/m²,Đã có sổ,,,,,"Mặt tiền
Thổ cư toàn bộ
Hẻm xe hơi",5 m,Đất thổ cư,,10 m,,,,,,,,,
2025-10-03T07:51:55.272699,Cập nhật 2 ngày trước,17 tỷ,"Nhà mặt phố, mặt tiền",585 m²,"29,06 triệu/m²",Đã có sổ,8 phòng,Nội thất đầy đủ,,5 phòng,Hẻm xe hơi,,,,,,,,,,,,,
2025-10-03T07:52:03.611272,Cập nhật 1 ngày trước,"10,2 tỷ","Nhà mặt phố, mặt tiền",40 m²,255 triệu/m²,Đã có sổ,3 phòng,,,,Hẻm xe hơi,,,,,,,,,,,,,
