now,published_at,price,house_type,size,living_size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,width,length,floors,property_status,apartment_type,pty_characteristics,land_type,size_unit,direction,commercial_type,floornumber,block,balconydirection,unitnumber,apartment_feature
2025-10-04T00:06:10.584959,Cập nhật 7 ngày trước,"26,8 tỷ",Nhà phố liền kề,80 m²,80 m²,335 triệu/m²,Đã có sổ,5 phòng,6 phòng,Nội thất cao cấp,6 m,,6,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-04T00:06:15.954040,Cập nhật 9 ngày trước,"8,3 tỷ","Nhà ngõ, hẻm",43 m²,,"193,02 triệu/m²",Đã có sổ,4 phòng,3 phòng,,,,,,,,,,,,,,,,
2025-10-04T00:06:18.816476,Cập nhật 9 ngày trước,"6,3 tỷ","Nhà ngõ, hẻm",27 m²,,"233,33 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,,,,,,,,,,,,,
2025-10-04T00:06:33.509955,Cập nhật 2 ngày trước,"13,7 tỷ","Nhà mặt phố, mặt tiền",52 m²,300 m²,"263,46 triệu/m²",Đã có sổ,6 phòng,6 phòng,Nội thất cao cấp,4.5 m,12 m,6,,,"Hẻm xe hơi
Nhà nở hậu",,,Đông Nam,,,,,,
2025-10-04T00:06:33.673170,Cập nhật 7 giờ trước,"3,9 tỷ",,114 m²,,"34,21 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,Hoàn thiện cơ bản,,,,Đã bàn giao,"Căn hộ dịch vụ, mini",,,,,,,,,,
2025-10-04T00:06:38.741741,Cập nhật 16 giờ trước,"12,5 tỷ","Nhà mặt phố, mặt tiền",38 m²,,"328,95 triệu/m²",Đã có sổ,6 phòng,5 phòng,,,,5,,,,,,,,,,,,
2025-10-04T00:06:42.325356,Cập nhật 8 ngày trước,"3,4 tỷ",,40 m²,,85 triệu/m²,Sổ hồng riêng,1 phòng,1 phòng,Hoàn thiện cơ bản,,,,Chưa bàn giao,"Tập thể, cư xá",,,,,,,,,,
2025-10-04T00:06:51.078913,Cập nhật 5 giờ trước,"4,35 tỷ","Nhà ngõ, hẻm",15.6 m²,17 m²,"278,85 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,4.5 m,,5,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:06:52.723693,Cập nhật 8 ngày trước,"10,755 tỷ","Nhà ngõ, hẻm",48 m²,50 m²,"224,06 triệu/m²",Đã có sổ,4 phòng,5 phòng,Hoàn thiện cơ bản,,,5,,,Nhà nở hậu,,,,,,,,,
2025-10-04T00:06:57.859628,Cập nhật 2 ngày trước,"3,75 tỷ","Nhà ngõ, hẻm",16 m²,,"234,38 triệu/m²",Đã có sổ,2 phòng,2 phòng,Nội thất đầy đủ,,,3,,,,,,,,,,,,
2025-10-04T00:07:02.585510,Cập nhật 8 ngày trước,14 tỷ,"Nhà ngõ, hẻm",60 m²,60 m²,"233,33 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,,,5,,,,,,,,,,,,
2025-10-04T00:07:04.498321,Cập nhật 7 ngày trước,"4,85 tỷ",,80 m²,,"60,62 triệu/m²",Sổ hồng riêng,2 phòng,,,,,,Đã bàn giao,"Tập thể, cư xá",,,,,,,,,,
2025-10-04T00:07:11.980062,Cập nhật 16 giờ trước,"5,5 tỷ","Nhà ngõ, hẻm",25 m²,125 m²,220 triệu/m²,Đã có sổ,3 phòng,3 phòng,Nội thất cao cấp,5 m,5 m,5,,,,,,Tây Nam,,,,,,
2025-10-04T00:07:13.247695,Cập nhật 7 ngày trước,"6,2 tỷ","Nhà ngõ, hẻm",30 m²,150 m²,"206,67 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất đầy đủ,5 m,,5,,,,,,,,,,,,
2025-10-04T00:07:13.828077,Cập nhật 9 ngày trước,"5,3 tỷ",,54.5 m²,,"97,25 triệu/m²",Đã có sổ,,,,4.97 m,11 m,,,,,Đất thổ cư,,,,,,,,
